"lecture_id","class_type","section","course_id","title","major","major_code","term","description","days","start_time","end_time","location","units","instructor","final_examination_date","final_examination_day","final_examination_time","grade_type","restrictions","impacted_class","level","text_book_url","url"
"413360200","LEC","1","0110A M","AF AMER M110A - African American Musical Heritage","African American Studies","AF AMER","16F","(Same as Ethnomusicology M110A.) Lecture, four hours; discussion, one hour. Sociocultural history and survey of African American music covering Africa and its impact on Americas; music of 17th through 19th centuries; minstrelsy and its impact on representation of blacks in film, television, and theater; religious music, including hymns, spirituals, and gospel; black music of Caribbean and Central and South America; and music of black Los Angeles. P/NP or letter grading.","Tuesday, Thursday","9am","10:50am","Schoenberg Music Building Room 1344","5.0","Keyes, C.L.","December 8, 2016","Thursday","11:30am-2:30pm","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413360200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0110A+M&class_id=413360200&class_no=%20001"
"413511200","LEC","1","0135B CM","AF AMER CM135B - African American Art, 1900 to 1963","African American Studies","AF AMER","16F","(Formerly numbered CM112E.) (Same as Art History CM135B.) Lecture, three hours. Detailed inquiry into work of African American artists from Columbian Exposition to 1963 March on Washington within context of social, political, and cultural engagement, as well as in codification of modern black life in U.S. Concurrently scheduled with course CM235B. P/NP or letter grading.","Monday, Wednesday","3:30pm","4:45pm","Dodd Hall Room 146","4.0","Nelson, S.D.","December 8, 2016","Thursday","3pm-6pm","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413511200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0135B+CM&class_id=413511200&class_no=%20001"
"413626200","LEC","1","0154C M","AF AMER M154C - Black Experience in Latin America and Caribbean I","African American Studies","AF AMER","16F","(Same as Political Science M184A.) Lecture, three or four hours; discussion, one hour (when scheduled). Designed for juniors/seniors. Culture, history, politics, and identity of African Americans in Spanish and Lusophone Caribbean, South America, and Central America. Exploration of issues of identity in context of Afro/Latino migration to U.S. P/NP or letter grading.","Monday, Wednesday","10am","11:50am","Perloff Hall Room 1102","4.0","Sawyer, M.Q.","December 5, 2016","Monday","8am-11am","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413626200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0154C+M&class_id=413626200&class_no=%20001"
"413648200","LEC","1","0158A M","AF AMER M158A - Comparative Slavery Systems","African American Studies","AF AMER","16F","(Same as History M150A.) Lecture, three hours; discussion, one hour (when scheduled). Designed for juniors/seniors. Examination of slavery experiences in various New World slave societies, with emphasis on outlining similarities and differences among legal status, treatment, and slave cultures of North American, Caribbean, and Latin American slave societies. P/NP or letter grading.","Monday, Wednesday, Friday","4pm","4:50pm","Dodd Hall Room 175","4.0","Roth, C.P.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413648200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0158A+M&class_id=413648200&class_no=%20001"
"413738200","LEC","1","0173  M","AF AMER M173 - Nonviolence and Social Movements","African American Studies","AF AMER","16F","(Same as Chicana and Chicano Studies M173 and Labor and Workplace Studies M173.) Lecture, three hours; discussion, one hour. Overview of nonviolence and its impact on social movements both historically and in its present context in contemporary society, featuring lectures, conversations, films, readings, and guest speakers. Exploration of some historic contributions of civil rights struggles and role of nonviolent action throughout recent U.S. history. Examination of particular lessons of nonviolent movements as they impact social change organizing in Los Angeles. P/NP or letter grading.","Tuesday","4pm","6:50pm","Haines Hall Room A18","4.0","Lawson, J.M.","December 9, 2016","Friday","8am-11am","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413738200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0173++M&class_id=413738200&class_no=%20001"
"413828200","SEM","1","0188A","AF AMER 188A - Special Courses in Afro-American Studies","African American Studies","AF AMER","16F","Seminar, four hours. Program-sponsored experimental or temporary courses, such as those taught by visiting faculty members. May be repeated for credit with topic change. P/NP or letter grading. Civil rights movement transformed U.S. and world. But where did civil rights victories of 1950s-60s derive? Scholars attempting to understand this question have debated focus on periodization of 1950s-60s. Instead, they have suggested that we must look to 1930s-40s to comprehend emergence of these large-scale social movements. But civil rights movement should not be celebrated only for its victories, since many core demands of movement have yet to be won, especially those demands surrounding economic justice and police brutality. How were these efforts stifled? Why were some campaigns achieved and others unsuccessful? Exploration of role of gender, class, region, and ideology in long civil rights movement. Focus on Black Power era and how this overlapped with (and diverged from) long civil rights movement. Through study of movement, analysis of civil rights activists and their campaigns after 1970s.","Tuesday, Thursday","11am","12:15pm","Bunche Hall Room 3170","4.0","Stein, D.P.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413828200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0188A&class_id=413828200&class_no=%20001"
"413828201","SEM","2","0188A","AF AMER 188A - Special Courses in Afro-American Studies","African American Studies","AF AMER","16F","Seminar, four hours. Program-sponsored experimental or temporary courses, such as those taught by visiting faculty members. May be repeated for credit with topic change. P/NP or letter grading. Interdisciplinary exploration of politics, practices, and challenges of prison abolition in U.S., examining abolitionist histories, theories, and visions for future. Readings from scholars of history, literature, popular culture, politics, capitalism/political economy, feminism, social movements, racial formation/racial justice, and carcerality. Introduction to ideas and on-ground strategies of carceral abolition. Students learn to distinguish between reforms that expand policing, surveillance, and imprisonment and proposals that reduce/eliminate regimes of captivity and carceral power. Study engages with local and national activists and social movements. Discussion and debate of historical practices of rebellion, refusal, and general rabble-rousing. Topics include boundaries of carcerality, scope of abolition, and ways in which abolitionists seek to reshape broad understandings of social life and social and political institutions.","Tuesday","2pm","4:50pm","Bunche Hall Room 3170","4.0","Haley, S.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413828201","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0188A&class_id=413828201&class_no=%20002"
"413828203","SEM","3","0188A","AF AMER 188A - Special Courses in Afro-American Studies","African American Studies","AF AMER","16F","Seminar, four hours. Program-sponsored experimental or temporary courses, such as those taught by visiting faculty members. May be repeated for credit with topic change. P/NP or letter grading.","Friday","1pm","3:50pm","Humanities Building Room A46","4.0","Salley, R.J.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413828203","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0188A&class_id=413828203&class_no=%20003"
"413846200","SEM","1","0191  C","AF AMER C191 - Variable Topics Research Seminars: Afro-American Studies","African American Studies","AF AMER","16F","Seminar, four hours. Research seminar on selected topics in Afro-American studies. Reading, discussion, and development of culminating project. May be repeated for credit. Concurrently scheduled with course C291. Letter grading. Uses speculative fiction of Octavia E. Butler, Samuel R. Delany, Tananarive Due, Nnedi Okorafor, Steven Barnes, and other writers--as well as short films by Kenyan filmmaker Wanuri Kahiu and British/African filmmaker Kibwe Tavares and others--to examine scope and impact of Afrofuturism, growing international cultural movement binding elements of history, sociology, technology, magical realism, politics, and futurism to create alternate reality for children of African diaspora. Exploration of influence of music of George Clinton and Parliament-Funkadelic (Mothership Connection) and Sun-Ra.","Tuesday, Thursday","12:30pm","1:45pm","Bunche Hall Room 3164","4.0","Due, T.P.","None listed","---","Consult instructor for method of evaluation","Letter Grade","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413846200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0191++C&class_id=413846200&class_no=%20001"
"413846201","SEM","2","0191  C","AF AMER C191 - Variable Topics Research Seminars: Afro-American Studies","African American Studies","AF AMER","16F","Seminar, four hours. Research seminar on selected topics in Afro-American studies. Reading, discussion, and development of culminating project. May be repeated for credit. Concurrently scheduled with course C291. Letter grading. Roots of contemporary hip-hop and spoken-word movements trace back to ancient storytelling traditions of African griots and linguistic jousting of dozens during Middle Passage to blues and sermonic traditions of American South; from postwar beat movement and protest songs of civil-rights era to revolutionary poetry of Black Power movement; from voices rising amidst 21st-century postindustrial technology to both celebration of and resistance to globalization. Worldwide impact of hip-hop culture has undeniably helped to usher in return of spoken word poetry born in generations past.","Wednesday","10am","12:50pm","Haines Hall Room A20","4.0","Bain, B.R.","None listed","---","Consult instructor for method of evaluation","Letter Grade","Instructor Consent","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413846201","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0191++C&class_id=413846201&class_no=%20002"
"413882201","TUT","1","0197","AF AMER 197 - Individual Studies in Afro-American Studies","African American Studies","AF AMER","16F","Tutorial, four hours. Preparation: 3.0 grade-point average in major. Limited to juniors/seniors. Individual intensive study, with scheduled meetings to be arranged between faculty member and student. Assigned reading and tangible evidence of mastery of subject matter required. Eight units may be applied toward major requirements. May be repeated for credit. Individual contract required. P/NP or letter grading.","Varies: Consult Instructor","","","","2.0-8.0 Variable","Bain, B.R.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413882201","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0197&class_id=413882201&class_no=%20001"
"413888201","TUT","1","0198","AF AMER 198 - Honors Research in Afro-American Studies","African American Studies","AF AMER","16F","Tutorial, four hours. Limited to juniors/seniors. Development and completion of honors thesis or comprehensive research project under direct supervision of faculty member. May be repeated for credit. Individual contract required. Letter grading.","Varies: Consult Instructor","","","","2.0-4.0 Variable","Hunter, M.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413888201","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0198&class_id=413888201&class_no=%20001"
"413888202","TUT","2","0198","AF AMER 198 - Honors Research in Afro-American Studies","African American Studies","AF AMER","16F","Tutorial, four hours. Limited to juniors/seniors. Development and completion of honors thesis or comprehensive research project under direct supervision of faculty member. May be repeated for credit. Individual contract required. Letter grading.","Varies: Consult Instructor","","","","2.0-4.0 Variable","Nguyen, T.P.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413888202","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0198&class_id=413888202&class_no=%20002"
"413894201","TUT","1","0199","AF AMER 199 - Directed Research or Senior Project in Afro-American Studies","African American Studies","AF AMER","16F","Tutorial, to be arranged with faculty member who directs study. Preparation: 3.0 grade-point average in major. Limited to juniors/seniors. Supervised individual research or investigation of large project under guidance of faculty mentor. Culminating paper or project required. Eight units may be applied toward major requirements. May be repeated for maximum of 16 units. Individual contract required. P/NP or letter grading.","Varies: Consult Instructor","","","","2.0-4.0 Variable","Kroskrity, P.V.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413894201","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0199&class_id=413894201&class_no=%20001"
"413894202","TUT","2","0199","AF AMER 199 - Directed Research or Senior Project in Afro-American Studies","African American Studies","AF AMER","16F","Tutorial, to be arranged with faculty member who directs study. Preparation: 3.0 grade-point average in major. Limited to juniors/seniors. Supervised individual research or investigation of large project under guidance of faculty mentor. Culminating paper or project required. Eight units may be applied toward major requirements. May be repeated for maximum of 16 units. Individual contract required. P/NP or letter grading.","Varies: Consult Instructor","","","","2.0-4.0 Variable","Redmond, S.L.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413894202","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0199&class_id=413894202&class_no=%20002"
"413894203","TUT","3","0199","AF AMER 199 - Directed Research or Senior Project in Afro-American Studies","African American Studies","AF AMER","16F","Tutorial, to be arranged with faculty member who directs study. Preparation: 3.0 grade-point average in major. Limited to juniors/seniors. Supervised individual research or investigation of large project under guidance of faculty mentor. Culminating paper or project required. Eight units may be applied toward major requirements. May be repeated for maximum of 16 units. Individual contract required. P/NP or letter grading.","Varies: Consult Instructor","","","","2.0-4.0 Variable","Due, T.P.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413894203","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0199&class_id=413894203&class_no=%20003"
"413894204","TUT","4","0199","AF AMER 199 - Directed Research or Senior Project in Afro-American Studies","African American Studies","AF AMER","16F","Tutorial, to be arranged with faculty member who directs study. Preparation: 3.0 grade-point average in major. Limited to juniors/seniors. Supervised individual research or investigation of large project under guidance of faculty mentor. Culminating paper or project required. Eight units may be applied toward major requirements. May be repeated for maximum of 16 units. Individual contract required. P/NP or letter grading.","Varies: Consult Instructor","","","","2.0-4.0 Variable","Bain, B.R.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413894204","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0199&class_id=413894204&class_no=%20004"
"413894205","TUT","5","0199","AF AMER 199 - Directed Research or Senior Project in Afro-American Studies","African American Studies","AF AMER","16F","Tutorial, to be arranged with faculty member who directs study. Preparation: 3.0 grade-point average in major. Limited to juniors/seniors. Supervised individual research or investigation of large project under guidance of faculty mentor. Culminating paper or project required. Eight units may be applied toward major requirements. May be repeated for maximum of 16 units. Individual contract required. P/NP or letter grading.","Varies: Consult Instructor","","","","2.0-4.0 Variable","Vonblum, P.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413894205","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0199&class_id=413894205&class_no=%20005"
"413894206","TUT","6","0199","AF AMER 199 - Directed Research or Senior Project in Afro-American Studies","African American Studies","AF AMER","16F","Tutorial, to be arranged with faculty member who directs study. Preparation: 3.0 grade-point average in major. Limited to juniors/seniors. Supervised individual research or investigation of large project under guidance of faculty mentor. Culminating paper or project required. Eight units may be applied toward major requirements. May be repeated for maximum of 16 units. Individual contract required. P/NP or letter grading.","Varies: Consult Instructor","","","","2.0-4.0 Variable","Keyes, C.L.","None listed","---","Consult instructor for method of evaluation","Letter Grade or Passed/ Not Passed","","No","Upper Division","http://ucla.verbacompare.com/compare?catids=16F413894206","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0199&class_id=413894206&class_no=%20006"
"813211200","LEC","1","0235B CM","AF AMER CM235B - African American Art, 1900 to 1963","African American Studies","AF AMER","16F","(Formerly numbered CM212E.) (Same as Art History CM235B.) Lecture, three hours. Detailed inquiry into work of African American artists from Columbian Exposition to 1963 March on Washington within context of social, political, and cultural engagement, as well as in codification of modern black life in U.S. Concurrently scheduled with course CM135B. S/U or letter grading.","Monday, Wednesday","3:30pm","4:45pm","Dodd Hall Room 146","4.0","Nelson, S.D.","December 8, 2016","Thursday","3pm-6pm","Letter Grade or Satisfactory/ Unsatisfactory","Graduate Students ","No","Graduate","http://ucla.verbacompare.com/compare?catids=16F813211200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0235B+CM&class_id=813211200&class_no=%20001"
"813420201","SEM","1","0270A","AF AMER 270A - Survey of Afro-American Research","African American Studies","AF AMER","16F","Seminar, three hours. Overview of research methodologies in humanities and social sciences, with firsthand reports from faculty in various fields. Introduction to research in and related to Afro-American studies and application of such research. Letter grading.","Tuesday","2pm","4:50pm","Haines Hall Room A28","4.0","Finch, A.","None listed","---","Consult instructor for method of evaluation","Letter Grade","","No","Graduate","http://ucla.verbacompare.com/compare?catids=16F813420201","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0270A&class_id=813420201&class_no=%20001"
"813620200","SEM","1","0375","AF AMER 375 - Teaching Apprentice Practicum","African American Studies","AF AMER","16F","Seminar, to be arranged. Preparation: apprentice personnel employment as teaching assistant, associate, or fellow. Teaching apprenticeship under active guidance and supervision of regular faculty member responsible for curriculum and instruction at UCLA. May be repeated for credit. S/U grading.","","","","","1.0-4.0 Variable","Bain, B.R.","None listed","---","Consult instructor for method of evaluation","Satisfactory/ Unsatisfactory","","No","Graduate","http://ucla.verbacompare.com/compare?catids=16F813620200","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0375&class_id=813620200&class_no=%20001"
"813620201","SEM","2","0375","AF AMER 375 - Teaching Apprentice Practicum","African American Studies","AF AMER","16F","Seminar, to be arranged. Preparation: apprentice personnel employment as teaching assistant, associate, or fellow. Teaching apprenticeship under active guidance and supervision of regular faculty member responsible for curriculum and instruction at UCLA. May be repeated for credit. S/U grading.","","","","","1.0-4.0 Variable","Due, T.P.","None listed","---","Consult instructor for method of evaluation","Satisfactory/ Unsatisfactory","","No","Graduate","http://ucla.verbacompare.com/compare?catids=16F813620201","https://sa.ucla.edu/ro/Public/SOC/Results/ClassDetail?term_cd=16F&subj_area_cd=AF+AMER&crs_catlg_no=0375&class_id=813620201&class_no=%20002"
